keyword,position,rank_absolute,search_volume,etv,keyword_difficulty,cpc,competition,search_intent,ranking_url,serp_page
monte design,23,29,590,1.2,12,1.9100000858306885,1,navigational,https://wassersfurniture.com/shop-by-brand/l-p/monte-design.html,3
wessers,22,26,390,0.9,12,0.009999999776482582,0.029999999329447746,informational,https://wassersfurniture.com/,3
burke manual reclining sofa,27,30,170,0.4,0,1.190000057220459,1,informational,https://wassersfurniture.com/products/burke-recliner,3
american leather steve sectional,23,27,140,0.3,0,2.4100000858306885,1,transactional,https://wassersfurniture.com/products/steve-sofa-collection,3
carson couch,28,36,140,0.3,0,2.190000057220459,1,transactional,https://wassersfurniture.com/products/carson-sofa-collection,3
carson sofa,26,33,140,0.3,0,2.190000057220459,1,transactional,https://wassersfurniture.com/products/carson-sofa-collection,3
aaron dining chair,29,34,110,0.2,0,2.2300000190734863,0.9700000286102295,transactional,https://wassersfurniture.com/products/aaron-accent-chair,3
hawaii mirrors,28,35,110,0.2,0,0.9900000095367432,1,transactional,https://wassersfurniture.com/products/hawaii-round-wall-mirror,3
american leather outlet dallas,21,25,70,0.2,0,1.1100000143051147,1,commercial,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html,3
american leather outlet,29,32,70,0.1,0,1.1100000143051147,1,navigational,https://wassersfurniture.com/collections/american-leather,3
american signature leather sofa,26,36,70,0.1,0,0.7300000190734863,1,transactional,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/sofas.html?p=2,3
atrium dining table,30,43,70,0.1,0,1.5799999237060547,1,transactional,https://wassersfurniture.com/products/atrium-wood-dining-table,3
burke reclining sofa,30,35,70,0.1,0,1.4700000286102295,1,transactional,https://wassersfurniture.com/products/burke-recliner,3
butterfly console table,28,31,70,0.1,0,0.3499999940395355,1,transactional,https://wassersfurniture.com/products/butterfly-console-table,3
american leather comfort sleeper prices,25,33,50,0.1,0,1.9700000286102295,1,commercial,https://wassersfurniture.com/shop-by-brand/a-c/american-leather/comfort-sleeper-by-american-leather.html,3
american leather website,27,32,50,0.1,5,0.8299999833106995,1,navigational,https://wassersfurniture.com/shop-by-brand/a-c/american-leather.html?p=3,3
clara comfort sleeper,29,31,50,0.1,0,4.670000076293945,1,transactional,https://wassersfurniture.com/products/clara-comfort-sleeper-sofa,3
seat belt dining chair,30,35,50,0.1,0,0.5799999833106995,1,transactional,https://wassersfurniture.com/phillips-collection-seatbelt-outdoor-dining-chair.html,3
seat belt dining chairs,23,29,50,0.1,0,0.5799999833106995,1,transactional,https://wassersfurniture.com/phillips-collection-seatbelt-outdoor-dining-chair.html,3
thea chair,25,30,50,0.1,0,2.8600001335144043,1,transactional,https://wassersfurniture.com/products/thea-dining-chair,3
sting table,22,30,40,0.1,0,3.4800000190734863,0.8600000143051147,transactional,https://wassersfurniture.com/products/sting-xl-coffee-table-set-of-3,3
furniture by wahlen,25,27,40,0.1,1,,0.5699999928474426,navigational,https://wassersfurniture.com/,3
xdmd,28,28,40,0.1,0,,0,informational,https://wassersfurniture.com/carrol-boyes-mandarin-dish-men-at-work-xdmd-maw.html,3
pablo light bench,22,27,30,0.1,0,0.33000001311302185,0.47999998927116394,transactional,https://wassersfurniture.com/shop-by-brand/l-p/pablo-designs.html?p=3,3
sofia dining chair,23,30,30,0.1,0,0.4399999976158142,1,transactional,https://wassersfurniture.com/products/sofia-dining-chair-metal-base,3
waterproof dresser,27,40,30,0.1,0,1.190000057220459,1,transactional,https://wassersfurniture.com/collections/dressers,3
