keyword,search_volume,etv,position,ranking_url,keyword_difficulty,cpc,search_intent
luxury bedroom comforters,74000,22496,2,https://latestbedding.com/collections/comforter-sets,0,5.179999828338623,transactional
bed comforter set king,40500,12312,2,https://latestbedding.com/collections/comforter-sets,2,1.159999966621399,transactional
bed comforters queen,40500,12312,4,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
bed comforters queen sets,40500,12312,2,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
blanket set for queen,40500,12312,2,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
king comforter set,40500,12312,2,https://latestbedding.com/collections/comforter-sets,0,1.159999966621399,transactional
queen bed comforter set,40500,12312,2,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
queen bedroom comforter set,40500,12312,2,https://latestbedding.com/collections/comforter-sets,2,0.8500000238418579,transactional
queen comforter bedroom sets,40500,12312,2,https://latestbedding.com/collections/comforter-sets,2,0.8500000238418579,transactional
queen comforter sets,40500,12312,1,https://latestbedding.com/collections/comforter-sets,2,0.8500000238418579,transactional
bedding set for queen bed,33100,10062.400390625,2,https://latestbedding.com/collections/comforter-sets,7,1.899999976158142,transactional
king bedding,60500,9801,2,https://latestbedding.com/collections/california-king-bedding,0,3.3499999046325684,navigational
luxury bed comforters,74000,7200.2001953125,5,https://latestbedding.com/collections/comforter-sets,0,5.179999828338623,transactional
luxury bedroom comforter,74000,7200.2001953125,6,https://latestbedding.com/collections/comforter-sets,0,5.179999828338623,transactional
comforter sets queen,22200,6748.7998046875,3,https://latestbedding.com/collections/comforter-sets,0,1.100000023841858,transactional
king size bedding comforter sets,22200,6748.7998046875,1,https://latestbedding.com/collections/comforter-sets,0,0.9900000095367432,transactional
queen bedroom comforters,22200,6748.7998046875,2,https://latestbedding.com/collections/comforter-sets,0,1.100000023841858,transactional
bedding king sets,40500,6561,2,https://latestbedding.com/collections/king-bedding,0,1.159999966621399,transactional
bedroom comforter set king,40500,6561,4,https://latestbedding.com/collections/comforter-sets,0,1.159999966621399,transactional
bedroom comforters queen,40500,6561,4,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
comforter bedding sets king,40500,6561,3,https://latestbedding.com/collections/comforter-sets,0,1.159999966621399,transactional
comforter sets for queen,40500,6561,5,https://latestbedding.com/collections/comforter-sets,2,0.8500000238418579,transactional
comforter sets queen with sheets,40500,6561,3,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
king bedroom comforter set,40500,6561,5,https://latestbedding.com/collections/king-bedding,0,1.159999966621399,transactional
king comforter sets,40500,6561,3,https://latestbedding.com/collections/comforter-sets,0,1.159999966621399,transactional
king set comforter,40500,6561,4,https://latestbedding.com/collections/comforter-sets,0,1.159999966621399,transactional
queen bed bedding,40500,6561,3,https://latestbedding.com/collections/comforter-sets,3,0.8500000238418579,transactional
queen bed set comforter,40500,6561,3,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
queen bed sets with sheets,40500,6561,2,https://latestbedding.com/collections/comforter-sets,7,0.8500000238418579,transactional
queen bedding set with sheets,40500,6561,3,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
queen bedding sets,40500,6561,2,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
queen blanket sets,40500,6561,4,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
queen comforter set with sheets,40500,6561,4,https://latestbedding.com/collections/comforter-sets,0,0.8500000238418579,transactional
bedding set queen bed,33100,5362.2001953125,4,https://latestbedding.com/collections/comforter-sets,7,1.899999976158142,transactional
bedding sets for queen bed,33100,5362.2001953125,4,https://latestbedding.com/collections/comforter-sets,2,1.899999976158142,transactional
bed comforter sets california king,14800,4499.2001953125,1,https://latestbedding.com/collections/california-king-bedding?page=2,0,1.2799999713897705,transactional
bedding complete sets,14800,4499.2001953125,1,https://latestbedding.com/collections/comforter-sets,3,0.8199999928474426,transactional
cal king bed comforter sets,14800,4499.2001953125,1,https://latestbedding.com/collections/california-king-bedding?page=2,0,1.2799999713897705,transactional
cal king bedding sets,14800,4499.2001953125,1,https://latestbedding.com/collections/california-king-bedding,0,1.2799999713897705,transactional
